ID,Area
1,VISa
2,VISa
3,VISa
4,VISa
5,VISa
6,VISa
7,VISa
8,VISa
9,VISam
10,VISa
11,VISa
12,VISa
13,VISam
14,VISa
15,VISa
16,VISa
17,VISa
18,VISa
19,VISa
20,VISa
21,VISa
22,VISa
23,VISam
24,VISam
25,VISam
26,VISam
27,VISa
28,VISa
29,VISam
30,VISam
31,VISa
32,VISa
33,VISrl
34,VISrl
35,VISrl
36,VISam
37,VISa
38,VISa
39,VISrl
40,VISrl
41,VISrl
42,VISam
43,VISam
44,VISam
45,VISpm
46,VISp
47,VISp
48,VISam
49,VISam
50,VISpm
51,VISp
52,VISp
53,VISrl
54,VISrl
55,VISpm
56,VISpm
57,VISp
58,VISp
59,VISrl
60,VISrl
61,VISrl
62,VISrl
63,VISrl
64,VISrl
65,VISrl
66,VISal
67,VISrl
68,VISal
69,VISpm
70,VISpm
71,VISpm
72,VISp
73,VISp
74,VISp
75,VISpm
76,VISpm
77,VISp
78,VISp
79,VISp
80,VISp
81,VISp
82,VISpm
83,VISp
84,VISp
85,VISp
86,VISp
87,VISrl
88,VISrl
89,VISp
90,VISp
91,VISrl
92,VISal
93,VISal
94,VISal
95,VISal
96,VISal
97,VISal
98,VISpm
99,VISpm
100,VISpm
101,VISp
102,VISp
103,VISpm
104,VISp
105,VISp
106,VISp
107,VISp
108,VISp
109,VISp
110,VISp
111,VISp
112,VISp
113,VISp
114,VISp
115,VISal
116,VISp
117,VISp
118,VISp
119,VISl
120,VISal
121,VISal
122,VISl
123,VISal
124,VISal
125,VISal
126,VISpm
127,VISpm
128,VISp
129,VISp
130,VISp
131,VISpm
132,VISp
133,VISp
134,VISp
135,VISp
136,VISp
137,VISp
138,VISp
139,VISp
140,VISp
141,VISp
142,VISp
143,VISl
144,VISp
145,VISp
146,VISp
147,VISp
148,VISl
149,VISl
150,VISp
151,VISl
152,VISl
153,VISl
154,VISli
155,VISl
156,VISli
157,VISpm
158,VISp
159,VISp
160,VISp
161,VISpm
162,VISp
163,VISp
164,VISp
165,VISp
166,VISp
167,VISp
168,VISp
169,VISp
170,VISp
171,VISp
172,VISp
173,VISp
174,VISp
175,VISp
176,VISp
177,VISl
178,VISp
179,VISp
180,VISl
181,VISl
182,VISl
183,VISl
184,VISl
185,VISli
186,VISli
187,VISli
188,VISpor
189,VISp
190,VISp
191,VISp
192,VISp
193,VISp
194,VISp
195,VISp
196,VISp
197,VISp
198,VISp
199,VISp
200,VISp
201,VISp
202,VISp
203,VISp
204,VISp
205,VISp
206,VISp
207,VISp
208,VISl
209,VISp
210,VISp
211,VISp
212,VISl
213,VISl
214,VISp
215,VISl
216,VISl
217,VISli
218,VISli
219,VISl
220,VISli
221,VISli
222,VISpor
223,VISpor
224,VISpor
225,VISpor
226,VISpor
227,VISpor
228,VISpor
229,VISpor
230,VISpor
231,VISpor
232,VISp
233,VISp
234,VISp
235,VISp
236,VISp
237,VISp
238,VISp
239,VISp
240,VISp
241,VISp
242,VISp
243,VISp
244,VISp
245,VISp
246,VISp
247,VISl
248,VISpl
249,VISp
250,VISpl
251,VISl
252,VISpor
253,VISpl
254,VISpl
255,VISpor
256,VISpor
257,VISpor
258,VISpor
259,VISpor
260,VISpor
261,VISpor
262,VISp
263,VISp
264,VISp
265,VISp
266,VISp
267,VISp
268,VISp
269,VISp
270,VISp
271,VISp
272,VISp
273,VISp
274,VISl
275,VISpl
276,VISpl
277,VISpl
278,VISpl
279,VISpl
280,VISpl
281,VISpl
282,VISpor
283,VISpor
284,VISp
285,VISp
286,VISp
287,VISp
288,VISpl
289,VISpl
290,VISpl
291,VISpl
292,VISpl
